height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.98108;12;0.5076;128.06745;137.78101;131.44492;1652803200;2022-05-17 16:00:00+00:00
1.05511;10;0.3923;82.68117;187.12878;180.579595;1652803200;2022-05-17 16:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652803200;2022-05-17 16:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652806800;2022-05-17 17:00:00+00:00
0.20229;7;0.071;0.27514;68.28851;62.143010000000004;1652806800;2022-05-17 17:00:00+00:00
0.64605;4;0.0;0.0;284.16156;267.88133500000004;1652806800;2022-05-17 17:00:00+00:00
0.98108;12;0.5076;128.06745;137.78101;131.44492;1652806800;2022-05-17 17:00:00+00:00
1.05511;10;0.3923;82.68117;187.12878;180.579595;1652806800;2022-05-17 17:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652806800;2022-05-17 17:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652810400;2022-05-17 18:00:00+00:00
0.17937;7;0.0669;0.20423;67.99164;61.93340500000001;1652810400;2022-05-17 18:00:00+00:00
0.78497;4;0.0;0.0;285.90509;270.69595999999996;1652810400;2022-05-17 18:00:00+00:00
0.88197;11;0.473;88.87463;136.30573;130.37729000000002;1652810400;2022-05-17 18:00:00+00:00
1.10938;10;0.43;107.90915;186.34125;179.778825;1652810400;2022-05-17 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652810400;2022-05-17 18:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652814000;2022-05-17 19:00:00+00:00
0.17937;7;0.0669;0.20423;67.99164;61.93340500000001;1652814000;2022-05-17 19:00:00+00:00
0.78497;4;0.0;0.0;285.90509;270.69595999999996;1652814000;2022-05-17 19:00:00+00:00
0.88197;11;0.473;88.87463;136.30573;130.37729000000002;1652814000;2022-05-17 19:00:00+00:00
1.10938;10;0.43;107.90915;186.34125;179.778825;1652814000;2022-05-17 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652814000;2022-05-17 19:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652817600;2022-05-17 20:00:00+00:00
0.17937;7;0.0669;0.20423;67.99164;61.93340500000001;1652817600;2022-05-17 20:00:00+00:00
0.78497;4;0.0;0.0;285.90509;270.69595999999996;1652817600;2022-05-17 20:00:00+00:00
0.88197;11;0.473;88.87463;136.30573;130.37729000000002;1652817600;2022-05-17 20:00:00+00:00
1.10938;10;0.43;107.90915;186.34125;179.778825;1652817600;2022-05-17 20:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652817600;2022-05-17 20:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652821200;2022-05-17 21:00:00+00:00
